Date,Close,signal
2017-09-10,1346.0,1
2017-09-17,1320.4000244140625,1
2017-09-24,1293.300048828125,1
2017-10-01,1281.5,1
2017-10-08,1271.5999755859375,1
2017-10-15,1301.5,1
2017-10-22,1277.4000244140625,1
2017-10-29,1268.5,1
2017-11-05,1266.5,1
2017-11-12,1272.4000244140625,1
2017-11-19,1295.800048828125,1
2017-11-26,1286.699951171875,1
2017-12-03,1278.800048828125,1
2017-12-10,1245.199951171875,0
2017-12-17,1254.300048828125,0
2017-12-24,1275.4000244140625,0
2017-12-31,1306.300048828125,1
2018-01-07,1320.300048828125,1
2018-01-14,1333.4000244140625,1
2018-01-21,1331.9000244140625,1
2018-01-28,1351.5999755859375,1
2018-02-04,1333.699951171875,1
2018-02-11,1313.0999755859375,1
2018-02-18,1353.199951171875,1
2018-02-25,1328.199951171875,1
2018-03-04,1321.0999755859375,1
2018-03-11,1322.4000244140625,1
2018-03-18,1311.300048828125,1
2018-03-25,1349.300048828125,1
2018-04-01,1322.800048828125,1
2018-04-08,1331.9000244140625,1
2018-04-15,1344.800048828125,1
2018-04-22,1336.699951171875,1
2018-04-29,1320.300048828125,1
2018-05-06,1312.699951171875,1
2018-05-13,1319.0,1
2018-05-20,1290.199951171875,1
2018-05-27,1303.300048828125,0
2018-06-03,1294.800048828125,0
2018-06-10,1298.0999755859375,0
2018-06-17,1274.5999755859375,0
2018-06-24,1267.4000244140625,0
2018-07-01,1251.300048828125,0
2018-07-08,1254.300048828125,0
2018-07-15,1239.5999755859375,0
2018-07-22,1229.5,0
2018-07-29,1222.5999755859375,0
2018-08-05,1214.199951171875,0
2018-08-12,1211.0999755859375,0
2018-08-19,1176.5,0
2018-08-26,1206.300048828125,0
2018-09-02,1200.300048828125,0
2018-09-09,1193.5999755859375,0
2018-09-16,1195.0,0
2018-09-23,1196.199951171875,0
2018-09-30,1191.5,0
2018-10-07,1201.199951171875,0
2018-10-14,1218.0999755859375,0
2018-10-21,1225.300048828125,0
2018-10-28,1232.5,0
2018-11-04,1230.9000244140625,0
2018-11-11,1206.4000244140625,0
2018-11-18,1220.800048828125,0
2018-11-25,1221.0,0
2018-12-02,1220.199951171875,0
2018-12-09,1246.800048828125,0
2018-12-16,1237.0,0
2018-12-23,1253.800048828125,1
2018-12-30,1279.9000244140625,1
2019-01-06,1282.699951171875,1
2019-01-13,1287.0999755859375,1
2019-01-20,1281.300048828125,1
2019-01-27,1297.4000244140625,1
2019-02-03,1316.9000244140625,1
2019-02-10,1313.699951171875,1
2019-02-17,1318.0999755859375,1
2019-02-24,1329.199951171875,1
2019-03-03,1296.4000244140625,1
2019-03-10,1297.0,1
2019-03-17,1301.800048828125,1
2019-03-24,1311.5999755859375,1
2019-03-31,1293.0,1
2019-04-07,1290.4000244140625,1
2019-04-14,1290.5999755859375,1
2019-04-21,1271.9000244140625,1
2019-04-28,1284.9000244140625,1
2019-05-05,1279.199951171875,1
2019-05-12,1285.699951171875,1
2019-05-19,1274.5,1
2019-05-26,1283.0,1
2019-06-02,1305.800048828125,1
2019-06-09,1341.199951171875,1
2019-06-16,1340.0999755859375,1
2019-06-23,1396.199951171875,1
2019-06-30,1409.699951171875,1
2019-07-07,1396.699951171875,1
2019-07-14,1409.9000244140625,1
2019-07-21,1425.0999755859375,1
2019-07-28,1418.5,1
2019-08-04,1445.5999755859375,1
2019-08-11,1496.5999755859375,1
2019-08-18,1512.5,1
2019-08-25,1526.5999755859375,1
2019-09-01,1519.0999755859375,1
2019-09-08,1506.199951171875,1
2019-09-15,1490.9000244140625,1
2019-09-22,1507.300048828125,1
2019-09-29,1499.0999755859375,1
2019-10-06,1506.199951171875,1
2019-10-13,1482.699951171875,1
2019-10-20,1488.199951171875,1
2019-10-27,1499.5,1
2019-11-03,1508.0,1
2019-11-10,1461.300048828125,1
2019-11-17,1467.300048828125,1
2019-11-24,1463.0999755859375,1
2019-12-01,1465.5999755859375,1
2019-12-08,1459.0999755859375,1
2019-12-15,1475.5999755859375,1
2019-12-22,1474.699951171875,1
2019-12-29,1513.800048828125,1
2020-01-05,1549.199951171875,1
2020-01-12,1557.5,1
2020-01-19,1558.800048828125,1
2020-01-26,1571.0999755859375,1
2020-02-02,1582.9000244140625,1
2020-02-09,1568.5999755859375,1
2020-02-16,1582.699951171875,1
2020-02-23,1644.5999755859375,1
2020-03-01,1564.0999755859375,1
2020-03-08,1670.800048828125,1
2020-03-15,1515.699951171875,1
2020-03-22,1484.0,1
2020-03-29,1623.9000244140625,1
2020-04-05,1633.699951171875,1
2020-04-12,1736.199951171875,1
2020-04-19,1689.199951171875,1
2020-04-26,1723.5,1
2020-05-03,1694.5,1
2020-05-10,1709.9000244140625,1
2020-05-17,1753.4000244140625,1
2020-05-24,1734.5999755859375,1
2020-05-31,1736.9000244140625,1
2020-06-07,1676.199951171875,1
2020-06-14,1729.300048828125,1
2020-06-21,1745.9000244140625,1
2020-06-28,1772.5,1
2020-07-05,1784.0,1
2020-07-12,1798.199951171875,1
2020-07-19,1808.300048828125,1
2020-07-26,1897.300048828125,1
2020-08-02,1962.800048828125,1
2020-08-09,2010.0999755859373,1
2020-08-16,1937.0,1
2020-08-23,1934.5999755859373,1
2020-08-30,1964.5999755859373,1
2020-09-06,1923.9000244140625,1
2020-09-13,1937.800048828125,1
2020-09-20,1952.0999755859373,1
2020-09-27,1857.699951171875,1
2020-10-04,1900.199951171875,1
2020-10-11,1919.5,1
2020-10-18,1900.800048828125,1
2020-10-25,1902.0,1
2020-11-01,1877.4000244140625,1
2020-11-08,1950.300048828125,1
2020-11-15,1885.699951171875,1
2020-11-22,1872.5999755859373,1
2020-11-29,1781.9000244140625,1
2020-12-06,1835.9000244140625,1
2020-12-13,1839.800048828125,1
2020-12-20,1885.699951171875,1
2020-12-27,1879.9000244140625,1
2021-01-03,1893.0999755859373,1
2021-01-10,1834.0999755859373,1
2021-01-17,1829.300048828125,0
2021-01-24,1855.699951171875,0
2021-01-31,1847.300048828125,0
2021-02-07,1810.9000244140625,0
2021-02-14,1821.5999755859373,0
2021-02-21,1775.800048828125,0
2021-02-28,1728.0999755859375,0
2021-03-07,1698.0,0
2021-03-14,1719.5,0
2021-03-21,1741.4000244140625,0
2021-03-28,1732.199951171875,0
2021-04-04,1726.5,0
2021-04-11,1743.300048828125,0
2021-04-18,1779.0,0
2021-04-25,1777.0,0
2021-05-02,1767.300048828125,0
2021-05-09,1831.0999755859373,0
2021-05-16,1837.9000244140625,0
