asset,dataset,model,strategy,auc,accuracy,trades,run_id,freq,Return_Ann,Vol_Ann,Sharpe,MaxDD
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_GRU,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_MLP,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_XGB,,,,,W,-0.0098378378378378,0.0017605660292725,-5.587883484212738,-0.0139059082233764
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LR,,,,,W,-0.0017567567567567,0.0009111794863118,-1.9280029710365847,-0.0024975012496872
USDCNY,,,KW_RF,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_GRU,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_MLP,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_RF,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_XGB,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LR,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_GRU,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LR,,,,,W,-0.0049189189189189,0.001421785331308,-3.459677639516345,-0.0069772954374992
USDCNY,,,KW_XGB,,,,,W,-0.0077297297297297,0.0016592330831704,-4.658615964286248,-0.0109424420436331
USDCNY,,,KW_MLP,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_RF,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_XGB,,,,,W,-0.0007027027027027,0.0005886750539483,-1.1937021927285385,-0.0009997499999998
USDCNY,,,KW_RF,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_MLP,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LR,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_GRU,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_GRU,,,,,W,-0.0041269841269841,0.0013281388831689,-3.1073438021310293,-0.0049887649868823
