Date,signal,position,Close,strategy
2018-03-25,0,0,6.334700107574463,S3_breakout
2018-04-01,0,0,6.288899898529053,S3_breakout
2018-04-08,0,0,6.3024001121521,S3_breakout
2018-04-15,0,0,6.290999889373779,S3_breakout
2018-04-22,0,0,6.27810001373291,S3_breakout
2018-04-29,0,0,6.335400104522705,S3_breakout
2018-05-06,0,0,6.352700233459473,S3_breakout
2018-05-13,0,0,6.348199844360352,S3_breakout
2018-05-20,0,0,6.366199970245361,S3_breakout
2018-05-27,0,0,6.376399993896484,S3_breakout
2018-06-03,0,0,6.409299850463867,S3_breakout
2018-06-10,0,0,6.392099857330322,S3_breakout
2018-06-17,0,0,6.4045000076293945,S3_breakout
2018-06-24,1,1,6.492099761962891,S3_breakout
2018-07-01,0,1,6.627399921417236,S3_breakout
2018-07-08,0,1,6.636799812316895,S3_breakout
2018-07-15,0,1,6.665900230407715,S3_breakout
2018-07-22,0,1,6.771699905395508,S3_breakout
2018-07-29,0,1,6.782800197601318,S3_breakout
2018-08-05,0,1,6.832799911499023,S3_breakout
2018-08-12,0,1,6.817200183868408,S3_breakout
2018-08-19,0,1,6.881499767303467,S3_breakout
2018-08-26,0,1,6.877500057220459,S3_breakout
2018-09-02,0,1,6.843100070953369,S3_breakout
2018-09-09,0,1,6.834400177001953,S3_breakout
2018-09-16,0,1,6.842899799346924,S3_breakout
2018-09-23,0,1,6.845900058746338,S3_breakout
2018-09-30,0,1,6.880300045013428,S3_breakout
2018-10-07,0,1,6.867899894714356,S3_breakout
2018-10-14,0,1,6.888599872589111,S3_breakout
2018-10-21,0,1,6.936699867248535,S3_breakout
2018-10-28,0,1,6.947999954223633,S3_breakout
2018-11-04,0,1,6.922399997711182,S3_breakout
2018-11-11,0,1,6.933499813079834,S3_breakout
2018-11-18,0,1,6.938199996948242,S3_breakout
2018-11-25,0,1,6.931000232696533,S3_breakout
2018-12-02,0,1,6.941500186920166,S3_breakout
2018-12-09,0,1,6.881700038909912,S3_breakout
2018-12-16,0,1,6.88070011138916,S3_breakout
2018-12-23,0,1,6.884099960327148,S3_breakout
2018-12-30,0,0,6.865300178527832,S3_breakout
2019-01-06,0,0,6.871099948883057,S3_breakout
2019-01-13,0,0,6.787499904632568,S3_breakout
2019-01-20,0,0,6.775400161743164,S3_breakout
2019-01-27,0,0,6.787600040435791,S3_breakout
2019-02-03,0,0,6.69980001449585,S3_breakout
2019-02-10,0,0,6.743800163269043,S3_breakout
2019-02-17,0,0,6.771200180053711,S3_breakout
2019-02-24,0,0,6.719099998474121,S3_breakout
2019-03-03,0,0,6.692999839782715,S3_breakout
2019-03-10,0,0,6.714099884033203,S3_breakout
2019-03-17,0,0,6.7220001220703125,S3_breakout
2019-03-24,0,0,6.698200225830078,S3_breakout
2019-03-31,0,0,6.738100051879883,S3_breakout
2019-04-07,0,0,6.716599941253662,S3_breakout
2019-04-14,0,0,6.718500137329102,S3_breakout
