asset,freq,dataset,family,family_id,params,sharpe,max_dd,ann_return
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI21_70-30_prob052,,-0.3102125964981528,-0.3057253889746528,-0.0466799415166466
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI21_70-30_prob055,,0.5828925877009212,-0.0536998795518527,0.0387630797243281
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI21_70-30_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MACD_12-26-9_prob052,,0.4580599761703838,-0.4438723497691906,0.0977718992851646
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MACD_12-26-9_prob055,,0.4580599761703838,-0.4438723497691906,0.0977718992851646
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MACD_12-26-9_prob060,,0.4580599761703838,-0.4438723497691906,0.0977718992851646
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MACD_19-39-9_prob052,,0.6803386921918161,-0.4148148005924533,0.1873357160258788
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MACD_19-39-9_prob055,,0.6817856655347587,-0.414814800592453,0.1879104391545782
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MACD_19-39-9_prob060,,0.6817856655347587,-0.414814800592453,0.1879104391545782
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_10-50_prob052,,0.3307169340540971,-0.4380460343134401,0.0552438132306998
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_10-50_prob055,,0.3320287730360475,-0.4369204382695423,0.0557545980219713
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_10-50_prob060,,0.3320287730360475,-0.4369204382695423,0.0557545980219713
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_20-100_prob052,,0.3428513154841838,-0.3614270798830121,0.0607119588087483
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_20-100_prob055,,0.3428513154841838,-0.3614270798830121,0.0607119588087483
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_20-100_prob060,,0.3428513154841838,-0.3614270798830121,0.0607119588087483
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_50-200_prob052,,0.5685457647012416,-0.4024234980657748,0.1502497977736032
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_50-200_prob055,,0.5685457647012416,-0.4024234980657748,0.1502497977736032
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_MAcross_50-200_prob060,,0.5685457647012416,-0.4024234980657748,0.1502497977736032
BTC,D,base,HYBRID_CONF,HYB_CONF_MLP_TA_RSI14_65-35_prob052,,0.3384315203229556,-0.2970284972877125,0.0470921653064186
