asset,freq,dataset,model,task,mae,rmse,spearman
OIL,D,base,RF_cls,classification,,,
OIL,D,base,RF_reg,regression,3.418182649518234,4.222809783198086,0.0041735269692416
OIL,D,base,XGB_cls,classification,,,
OIL,D,base,XGB_reg,regression,3.101441674694789,4.977684459064023,-0.0235209395894314
OIL,D,eng,GRU_cls,classification,,,
OIL,D,eng,GRU_reg,regression,,,
OIL,D,eng,LR_cls,classification,,,
OIL,D,eng,LR_reg,regression,,,
OIL,D,eng,LSTM_cls,classification,,,
OIL,D,eng,LSTM_reg,regression,,,
OIL,D,eng,MLP_cls,classification,,,
OIL,D,eng,MLP_reg,regression,,,
OIL,D,eng,RF_cls,classification,,,
OIL,D,eng,RF_reg,regression,2.480993125730235,3.3659481398654454,-0.0388184551669813
OIL,D,eng,XGB_cls,classification,,,
OIL,D,eng,XGB_reg,regression,2.352237305950694,3.16680443952324,-0.0198144920091393
OIL,D,ext,GRU_cls,classification,,,
OIL,D,ext,GRU_reg,regression,,,
OIL,D,ext,LR_cls,classification,,,
OIL,D,ext,LR_reg,regression,,,
OIL,D,ext,LSTM_cls,classification,,,
OIL,D,ext,LSTM_reg,regression,,,
OIL,D,ext,MLP_cls,classification,,,
OIL,D,ext,MLP_reg,regression,,,
OIL,D,ext,RF_cls,classification,,,
OIL,D,ext,RF_reg,regression,2.480993125730235,3.3659481398654454,-0.0388184551669813
OIL,D,ext,XGB_cls,classification,,,
OIL,D,ext,XGB_reg,regression,2.352237305950694,3.16680443952324,-0.0198144920091393
OIL,W,base,GRU_cls,classification,,,
OIL,W,base,GRU_reg,regression,,,
OIL,W,base,LR_cls,classification,,,
OIL,W,base,LR_reg,regression,,,
OIL,W,base,LSTM_cls,classification,,,
OIL,W,base,LSTM_reg,regression,,,
OIL,W,base,MLP_cls,classification,,,
OIL,W,base,MLP_reg,regression,,,
OIL,W,base,RF_cls,classification,,,
OIL,W,base,RF_reg,regression,3.915288559836059,5.16550348073482,-0.0232500146687789
OIL,W,base,XGB_cls,classification,,,
OIL,W,base,XGB_reg,regression,4.076369001743329,5.360977593270685,0.1013039210979714
OIL,W,eng,GRU_cls,classification,,,
OIL,W,eng,GRU_reg,regression,,,
OIL,W,eng,LR_cls,classification,,,
OIL,W,eng,LR_reg,regression,,,
OIL,W,eng,LSTM_cls,classification,,,
OIL,W,eng,LSTM_reg,regression,,,
OIL,W,eng,MLP_cls,classification,,,
OIL,W,eng,MLP_reg,regression,,,
OIL,W,eng,RF_cls,classification,,,
OIL,W,eng,RF_reg,regression,3.816630582237577,5.070033890808159,0.03713734777808
OIL,W,eng,XGB_cls,classification,,,
OIL,W,eng,XGB_reg,regression,4.068402763340339,5.2856452387698045,0.0484936497522309
OIL,W,ext,GRU_cls,classification,,,
OIL,W,ext,GRU_reg,regression,,,
