date,prob_up,signal,run_id
2023-05-30,0.42046896,0,d_prod_20250914-055550
2023-05-31,0.689938,1,d_prod_20250914-055550
2023-06-01,0.12927362,0,d_prod_20250914-055550
2023-06-02,0.32456067,0,d_prod_20250914-055550
2023-06-05,0.89748794,1,d_prod_20250914-055550
2023-06-06,0.61341214,1,d_prod_20250914-055550
2023-06-07,0.3703544,0,d_prod_20250914-055550
2023-06-08,0.75990236,1,d_prod_20250914-055550
2023-06-09,0.40996,0,d_prod_20250914-055550
2023-06-12,0.4400353,0,d_prod_20250914-055550
2023-06-13,0.51880413,1,d_prod_20250914-055550
2023-06-14,0.66749585,1,d_prod_20250914-055550
2023-06-15,0.568523,1,d_prod_20250914-055550
2023-06-16,0.21072567,0,d_prod_20250914-055550
2023-06-19,0.225399,0,d_prod_20250914-055550
2023-06-20,0.34323084,0,d_prod_20250914-055550
2023-06-21,0.17213374,0,d_prod_20250914-055550
2023-06-22,0.15838107,0,d_prod_20250914-055550
2023-06-23,0.40914762,0,d_prod_20250914-055550
2023-06-26,0.35139918,0,d_prod_20250914-055550
2023-06-27,0.56124806,1,d_prod_20250914-055550
2023-06-28,0.72274053,1,d_prod_20250914-055550
2023-06-29,0.4924727,0,d_prod_20250914-055550
2023-06-30,0.33267605,0,d_prod_20250914-055550
2023-07-03,0.351569,0,d_prod_20250914-055550
2023-07-04,0.96846235,1,d_prod_20250914-055550
2023-07-05,0.9545477,1,d_prod_20250914-055550
2023-07-06,0.6818387,1,d_prod_20250914-055550
2023-07-07,0.7633563,1,d_prod_20250914-055550
2023-07-10,0.75887734,1,d_prod_20250914-055550
2023-07-11,0.8259508,1,d_prod_20250914-055550
2023-07-12,0.72371244,1,d_prod_20250914-055550
2023-07-13,0.37656313,0,d_prod_20250914-055550
2023-07-14,0.8730379,1,d_prod_20250914-055550
2023-07-17,0.78019273,1,d_prod_20250914-055550
2023-07-18,0.7897669,1,d_prod_20250914-055550
2023-07-19,0.48947632,0,d_prod_20250914-055550
2023-07-20,0.72742075,1,d_prod_20250914-055550
2023-07-21,0.69223315,1,d_prod_20250914-055550
2023-07-24,0.6302547,1,d_prod_20250914-055550
2023-07-25,0.5232727,1,d_prod_20250914-055550
